%	Data from http://www.asdi.com/apps/arm.html, figure 1
%Wavelength,m	Irradiance, W/m^2/m
445.00e-9	1.2690e9
446.00e-9	1.2919e9
447.00e-9	1.3208e9
448.00e-9	1.3471e9
449.00e-9	1.3709e9
450.00e-9	1.3824e9
451.00e-9	1.3574e9
452.00e-9	1.3429e9
453.00e-9	1.3419e9
454.00e-9	1.3597e9
455.00e-9	1.3772e9
456.00e-9	1.3843e9
457.00e-9	1.3804e9
458.00e-9	1.3798e9
459.00e-9	1.3897e9
460.00e-9	1.4052e9
461.00e-9	1.4155e9
462.00e-9	1.4111e9
463.00e-9	1.4011e9
464.00e-9	1.3905e9
465.00e-9	1.3805e9
466.00e-9	1.3759e9
467.00e-9	1.3785e9
468.00e-9	1.3764e9
469.00e-9	1.3778e9
470.00e-9	1.3835e9
471.00e-9	1.4020e9
472.00e-9	1.4121e9
473.00e-9	1.4175e9
474.00e-9	1.4208e9
475.00e-9	1.4215e9
476.00e-9	1.4259e9
477.00e-9	1.4381e9
478.00e-9	1.4470e9
479.00e-9	1.4542e9
480.00e-9	1.4593e9
481.00e-9	1.4564e9
482.00e-9	1.4439e9
483.00e-9	1.4177e9
484.00e-9	1.3568e9
485.00e-9	1.3110e9
486.00e-9	1.2948e9
487.00e-9	1.3344e9
488.00e-9	1.3757e9
489.00e-9	1.4012e9
490.00e-9	1.4057e9
491.00e-9	1.3949e9
492.00e-9	1.4002e9
493.00e-9	1.4180e9
494.00e-9	1.4310e9
495.00e-9	1.4345e9
496.00e-9	1.4307e9
497.00e-9	1.4181e9
498.00e-9	1.4052e9
499.00e-9	1.3898e9
500.00e-9	1.3704e9
501.00e-9	1.3699e9
502.00e-9	1.3758e9
503.00e-9	1.3874e9
504.00e-9	1.4073e9
505.00e-9	1.4163e9
506.00e-9	1.4173e9
507.00e-9	1.4117e9
508.00e-9	1.4133e9
509.00e-9	1.4169e9
510.00e-9	1.4191e9
511.00e-9	1.4116e9
512.00e-9	1.3993e9
513.00e-9	1.3826e9
514.00e-9	1.3623e9
515.00e-9	1.3278e9
516.00e-9	1.2872e9
517.00e-9	1.2806e9
518.00e-9	1.3041e9
519.00e-9	1.3394e9
520.00e-9	1.3682e9
521.00e-9	1.3818e9
522.00e-9	1.3932e9
523.00e-9	1.4067e9
524.00e-9	1.3982e9
525.00e-9	1.3804e9
526.00e-9	1.3578e9
527.00e-9	1.3803e9
528.00e-9	1.4081e9
529.00e-9	1.4338e9
530.00e-9	1.4370e9
531.00e-9	1.4243e9
532.00e-9	1.4127e9
533.00e-9	1.4144e9
534.00e-9	1.4254e9
535.00e-9	1.4307e9
536.00e-9	1.4271e9
537.00e-9	1.4182e9
538.00e-9	1.4049e9
539.00e-9	1.3898e9
540.00e-9	1.3851e9
541.00e-9	1.3903e9
542.00e-9	1.4001e9
543.00e-9	1.4100e9
544.00e-9	1.4141e9
545.00e-9	1.4142e9
546.00e-9	1.4102e9
547.00e-9	1.4091e9
548.00e-9	1.4103e9
549.00e-9	1.4133e9
550.00e-9	1.4128e9
551.00e-9	1.4122e9
552.00e-9	1.4124e9
553.00e-9	1.4160e9
554.00e-9	1.4135e9
555.00e-9	1.4060e9
556.00e-9	1.3917e9
557.00e-9	1.3776e9
558.00e-9	1.3692e9
559.00e-9	1.3683e9
560.00e-9	1.3757e9
561.00e-9	1.3814e9
562.00e-9	1.3849e9
563.00e-9	1.3820e9
564.00e-9	1.3774e9
565.00e-9	1.3732e9
566.00e-9	1.3720e9
567.00e-9	1.3682e9
568.00e-9	1.3627e9
569.00e-9	1.3553e9
570.00e-9	1.3580e9
571.00e-9	1.3650e9
572.00e-9	1.3746e9
573.00e-9	1.3742e9
574.00e-9	1.3708e9
575.00e-9	1.3657e9
576.00e-9	1.3607e9
577.00e-9	1.3581e9
578.00e-9	1.3590e9
579.00e-9	1.3659e9
580.00e-9	1.3755e9
581.00e-9	1.3837e9
582.00e-9	1.3896e9
583.00e-9	1.3859e9
584.00e-9	1.3794e9
585.00e-9	1.3696e9
586.00e-9	1.3517e9
587.00e-9	1.3270e9
588.00e-9	1.3058e9
589.00e-9	1.3027e9
590.00e-9	1.3126e9
591.00e-9	1.3242e9
592.00e-9	1.3339e9
593.00e-9	1.3367e9
594.00e-9	1.3387e9
595.00e-9	1.3401e9
596.00e-9	1.3392e9
597.00e-9	1.3373e9
598.00e-9	1.3344e9
599.00e-9	1.3298e9
600.00e-9	1.3272e9
601.00e-9	1.3277e9
602.00e-9	1.3329e9
603.00e-9	1.3359e9
604.00e-9	1.3376e9
605.00e-9	1.3380e9
606.00e-9	1.3346e9
607.00e-9	1.3307e9
608.00e-9	1.3264e9
609.00e-9	1.3223e9
610.00e-9	1.3175e9
611.00e-9	1.3127e9
612.00e-9	1.3087e9
613.00e-9	1.3025e9
614.00e-9	1.2974e9
615.00e-9	1.2946e9
616.00e-9	1.2956e9
617.00e-9	1.2978e9
618.00e-9	1.3010e9
619.00e-9	1.3043e9
620.00e-9	1.3066e9
621.00e-9	1.3074e9
622.00e-9	1.3044e9
623.00e-9	1.2982e9
624.00e-9	1.2914e9
625.00e-9	1.2854e9
626.00e-9	1.2815e9
627.00e-9	1.2773e9
628.00e-9	1.2726e9
629.00e-9	1.2697e9
630.00e-9	1.2679e9
631.00e-9	1.2671e9
632.00e-9	1.2681e9
633.00e-9	1.2709e9
634.00e-9	1.2745e9
635.00e-9	1.2786e9
636.00e-9	1.2824e9
637.00e-9	1.2852e9
638.00e-9	1.2868e9
639.00e-9	1.2858e9
640.00e-9	1.2836e9
641.00e-9	1.2805e9
642.00e-9	1.2785e9
643.00e-9	1.2773e9
644.00e-9	1.2762e9
645.00e-9	1.2735e9
646.00e-9	1.2682e9
647.00e-9	1.2621e9
648.00e-9	1.2559e9
649.00e-9	1.2523e9
650.00e-9	1.2508e9
651.00e-9	1.2516e9
652.00e-9	1.2524e9
653.00e-9	1.2476e9
654.00e-9	1.2364e9
655.00e-9	1.2122e9
656.00e-9	1.1946e9
657.00e-9	1.1861e9
658.00e-9	1.1945e9
659.00e-9	1.2098e9
660.00e-9	1.2260e9
661.00e-9	1.2417e9
662.00e-9	1.2512e9
663.00e-9	1.2572e9
664.00e-9	1.2601e9
665.00e-9	1.2602e9
666.00e-9	1.2600e9
667.00e-9	1.2595e9
668.00e-9	1.2587e9
669.00e-9	1.2565e9
670.00e-9	1.2536e9
671.00e-9	1.2502e9
672.00e-9	1.2474e9
673.00e-9	1.2454e9
674.00e-9	1.2442e9
675.00e-9	1.2433e9
676.00e-9	1.2425e9
677.00e-9	1.2417e9
678.00e-9	1.2410e9
679.00e-9	1.2396e9
680.00e-9	1.2377e9
681.00e-9	1.2357e9
682.00e-9	1.2323e9
683.00e-9	1.2266e9
684.00e-9	1.2178e9
685.00e-9	1.1927e9
686.00e-9	1.1590e9
687.00e-9	1.1191e9
688.00e-9	1.0882e9
689.00e-9	1.0736e9
690.00e-9	1.0709e9
691.00e-9	1.0814e9
692.00e-9	1.0965e9
693.00e-9	1.1119e9
694.00e-9	1.1253e9
695.00e-9	1.1359e9
696.00e-9	1.1450e9
697.00e-9	1.1523e9
698.00e-9	1.1534e9
699.00e-9	1.1516e9
700.00e-9	1.1477e9
701.00e-9	1.1428e9
702.00e-9	1.1410e9
703.00e-9	1.1414e9
704.00e-9	1.1443e9
705.00e-9	1.1478e9
706.00e-9	1.1506e9
707.00e-9	1.1523e9
708.00e-9	1.1530e9
709.00e-9	1.1526e9
710.00e-9	1.1511e9
711.00e-9	1.1485e9
712.00e-9	1.1445e9
713.00e-9	1.1379e9
714.00e-9	1.1243e9
715.00e-9	1.0976e9
716.00e-9	1.0649e9
717.00e-9	1.0275e9
718.00e-9	1.0036e9
719.00e-9	0.99205e9
720.00e-9	0.99270e9
721.00e-9	0.99814e9
722.00e-9	1.0013e9
723.00e-9	1.0023e9
724.00e-9	1.0002e9
725.00e-9	0.99738e9
726.00e-9	0.99528e9
727.00e-9	0.99558e9
728.00e-9	1.0005e9
729.00e-9	1.0089e9
730.00e-9	1.0210e9
731.00e-9	1.0364e9
732.00e-9	1.0503e9
733.00e-9	1.0624e9
734.00e-9	1.0692e9
735.00e-9	1.0730e9
736.00e-9	1.0748e9
737.00e-9	1.0747e9
738.00e-9	1.0739e9
739.00e-9	1.0737e9
740.00e-9	1.0749e9
741.00e-9	1.0780e9
742.00e-9	1.0808e9
743.00e-9	1.0833e9
744.00e-9	1.0849e9
745.00e-9	1.0859e9
746.00e-9	1.0860e9
747.00e-9	1.0838e9
748.00e-9	1.0809e9
749.00e-9	1.0780e9
750.00e-9	1.0760e9
751.00e-9	1.0744e9
752.00e-9	1.0728e9
753.00e-9	1.0709e9
754.00e-9	1.0649e9
755.00e-9	1.0419e9
756.00e-9	0.99866e9
757.00e-9	0.90281e9
758.00e-9	0.79763e9
759.00e-9	0.69624e9
760.00e-9	0.62284e9
761.00e-9	0.59050e9
762.00e-9	0.58787e9
763.00e-9	0.61972e9
764.00e-9	0.68563e9
765.00e-9	0.75788e9
766.00e-9	0.83307e9
767.00e-9	0.89446e9
768.00e-9	0.94307e9
769.00e-9	0.98042e9
770.00e-9	1.0027e9
771.00e-9	1.0155e9
772.00e-9	1.0232e9
773.00e-9	1.0266e9
774.00e-9	1.0276e9
775.00e-9	1.0276e9
776.00e-9	1.0270e9
777.00e-9	1.0256e9
778.00e-9	1.0245e9
779.00e-9	1.0234e9
780.00e-9	1.0220e9
781.00e-9	1.0201e9
782.00e-9	1.0181e9
783.00e-9	1.0165e9
784.00e-9	1.0138e9
785.00e-9	1.0104e9
786.00e-9	1.0061e9
787.00e-9	1.0009e9
788.00e-9	0.99515e9
789.00e-9	0.98893e9
790.00e-9	0.98259e9
791.00e-9	0.97700e9
792.00e-9	0.97238e9
793.00e-9	0.97008e9
794.00e-9	0.96901e9
795.00e-9	0.96867e9
796.00e-9	0.96904e9
797.00e-9	0.96842e9
798.00e-9	0.96707e9
799.00e-9	0.96495e9
800.00e-9	0.96238e9
801.00e-9	0.95972e9
802.00e-9	0.95715e9
803.00e-9	0.95579e9
804.00e-9	0.95456e9
805.00e-9	0.95315e9
806.00e-9	0.95095e9
807.00e-9	0.94730e9
808.00e-9	0.94237e9
809.00e-9	0.93585e9
810.00e-9	0.92441e9
811.00e-9	0.90948e9
812.00e-9	0.89108e9
813.00e-9	0.86950e9
814.00e-9	0.84874e9
815.00e-9	0.82969e9
816.00e-9	0.81620e9
817.00e-9	0.81038e9
818.00e-9	0.80806e9
819.00e-9	0.80783e9
820.00e-9	0.80667e9
821.00e-9	0.80797e9
822.00e-9	0.81274e9
823.00e-9	0.82002e9
824.00e-9	0.82561e9
825.00e-9	0.82967e9
826.00e-9	0.83233e9
827.00e-9	0.83471e9
828.00e-9	0.83653e9
829.00e-9	0.83706e9
830.00e-9	0.83716e9
831.00e-9	0.83833e9
832.00e-9	0.84150e9
833.00e-9	0.84755e9
834.00e-9	0.85408e9
835.00e-9	0.86089e9
836.00e-9	0.86739e9
837.00e-9	0.87336e9
838.00e-9	0.87855e9
839.00e-9	0.88174e9
840.00e-9	0.88327e9
841.00e-9	0.88401e9
842.00e-9	0.88424e9
843.00e-9	0.88424e9
844.00e-9	0.88371e9
845.00e-9	0.88254e9
846.00e-9	0.87856e9
847.00e-9	0.87349e9
848.00e-9	0.86754e9
849.00e-9	0.86166e9
850.00e-9	0.85304e9
851.00e-9	0.84265e9
852.00e-9	0.83077e9
853.00e-9	0.82539e9
854.00e-9	0.82398e9
855.00e-9	0.82679e9
856.00e-9	0.83092e9
857.00e-9	0.83594e9
858.00e-9	0.84181e9
859.00e-9	0.84850e9
860.00e-9	0.85306e9
861.00e-9	0.85509e9
862.00e-9	0.85176e9
863.00e-9	0.84405e9
864.00e-9	0.83518e9
865.00e-9	0.82687e9
866.00e-9	0.82259e9
867.00e-9	0.81992e9
868.00e-9	0.81863e9
869.00e-9	0.81933e9
870.00e-9	0.82160e9
871.00e-9	0.82508e9
872.00e-9	0.82851e9
873.00e-9	0.83003e9
874.00e-9	0.83020e9
875.00e-9	0.82900e9
876.00e-9	0.82726e9
877.00e-9	0.82522e9
878.00e-9	0.82292e9
879.00e-9	0.82105e9
880.00e-9	0.81961e9
881.00e-9	0.81857e9
882.00e-9	0.81726e9
883.00e-9	0.81554e9
884.00e-9	0.81360e9
885.00e-9	0.81177e9
886.00e-9	0.81060e9
887.00e-9	0.80944e9
888.00e-9	0.80787e9
889.00e-9	0.80500e9
890.00e-9	0.80108e9
891.00e-9	0.79602e9
892.00e-9	0.78774e9
893.00e-9	0.77663e9
894.00e-9	0.76275e9
895.00e-9	0.74539e9
896.00e-9	0.72606e9
897.00e-9	0.70587e9
898.00e-9	0.68595e9
899.00e-9	0.67036e9
900.00e-9	0.65917e9
901.00e-9	0.65371e9
902.00e-9	0.65507e9
903.00e-9	0.65799e9
904.00e-9	0.66194e9
905.00e-9	0.66400e9
906.00e-9	0.66426e9
907.00e-9	0.66301e9
908.00e-9	0.65984e9
909.00e-9	0.65433e9
910.00e-9	0.64732e9
911.00e-9	0.63880e9
912.00e-9	0.63217e9
913.00e-9	0.62753e9
914.00e-9	0.62514e9
915.00e-9	0.62522e9
916.00e-9	0.62659e9
917.00e-9	0.62914e9
918.00e-9	0.63303e9
919.00e-9	0.63769e9
920.00e-9	0.64255e9
921.00e-9	0.64695e9
922.00e-9	0.65083e9
923.00e-9	0.65379e9
924.00e-9	0.65541e9
925.00e-9	0.65197e9
926.00e-9	0.64418e9
927.00e-9	0.63174e9
928.00e-9	0.61168e9
929.00e-9	0.58663e9
930.00e-9	0.55728e9
931.00e-9	0.52311e9
932.00e-9	0.48694e9
933.00e-9	0.45030e9
934.00e-9	0.41443e9
935.00e-9	0.38598e9
936.00e-9	0.36320e9
937.00e-9	0.34686e9
938.00e-9	0.34205e9
939.00e-9	0.34238e9
940.00e-9	0.34765e9
941.00e-9	0.35712e9
942.00e-9	0.36624e9
943.00e-9	0.37487e9
944.00e-9	0.38197e9
945.00e-9	0.38648e9
946.00e-9	0.38856e9
947.00e-9	0.38761e9
948.00e-9	0.38470e9
949.00e-9	0.38340e9
950.00e-9	0.38390e9
951.00e-9	0.38666e9
952.00e-9	0.38993e9
953.00e-9	0.39365e9
954.00e-9	0.39808e9
955.00e-9	0.40239e9
956.00e-9	0.40652e9
957.00e-9	0.41042e9
958.00e-9	0.41505e9
959.00e-9	0.42069e9
960.00e-9	0.42746e9
961.00e-9	0.43476e9
962.00e-9	0.44233e9
963.00e-9	0.45045e9
964.00e-9	0.46078e9
965.00e-9	0.47210e9
966.00e-9	0.48414e9
967.00e-9	0.49696e9
968.00e-9	0.51076e9
969.00e-9	0.52411e9
970.00e-9	0.53652e9
971.00e-9	0.54698e9
972.00e-9	0.55601e9
973.00e-9	0.56358e9
974.00e-9	0.56926e9
975.00e-9	0.57361e9
976.00e-9	0.57658e9
977.00e-9	0.57715e9
978.00e-9	0.57713e9
979.00e-9	0.57741e9
980.00e-9	0.57863e9
981.00e-9	0.58088e9
982.00e-9	0.58435e9
983.00e-9	0.58915e9
984.00e-9	0.59517e9
985.00e-9	0.60158e9
986.00e-9	0.60817e9
987.00e-9	0.61400e9
988.00e-9	0.61889e9
989.00e-9	0.62323e9
990.00e-9	0.62706e9
991.00e-9	0.63058e9
992.00e-9	0.63331e9
993.00e-9	0.63493e9
994.00e-9	0.63597e9
995.00e-9	0.63690e9
996.00e-9	0.63771e9
997.00e-9	0.63815e9
998.00e-9	0.63762e9
999.00e-9	0.63675e9
1000.0e-9	0.63655e9
1001.0e-9	0.62093e9
1002.0e-9	0.61899e9
1003.0e-9	0.61740e9
1004.0e-9	0.61627e9
1005.0e-9	0.61569e9
1006.0e-9	0.61488e9
1007.0e-9	0.61360e9
1008.0e-9	0.61242e9
1009.0e-9	0.61193e9
1010.0e-9	0.61147e9
1011.0e-9	0.61054e9
1012.0e-9	0.60962e9
1013.0e-9	0.60879e9
1014.0e-9	0.60783e9
1015.0e-9	0.60654e9
1016.0e-9	0.60522e9
1017.0e-9	0.60402e9
1018.0e-9	0.60282e9
1019.0e-9	0.60153e9
1020.0e-9	0.59976e9
1021.0e-9	0.59804e9
1022.0e-9	0.59662e9
1023.0e-9	0.59533e9
1024.0e-9	0.59442e9
1025.0e-9	0.59354e9
1026.0e-9	0.59214e9
1027.0e-9	0.59064e9
1028.0e-9	0.58888e9
1029.0e-9	0.58698e9
1030.0e-9	0.58526e9
1031.0e-9	0.58376e9
1032.0e-9	0.58226e9
1033.0e-9	0.58072e9
1034.0e-9	0.57922e9
1035.0e-9	0.57778e9
1036.0e-9	0.57640e9
1037.0e-9	0.57501e9
1038.0e-9	0.57362e9
1039.0e-9	0.57222e9
1040.0e-9	0.57082e9
1041.0e-9	0.56944e9
1042.0e-9	0.56838e9
1043.0e-9	0.56730e9
1044.0e-9	0.56587e9
1045.0e-9	0.56449e9
1046.0e-9	0.56297e9
1047.0e-9	0.56141e9
1048.0e-9	0.55982e9
1049.0e-9	0.55813e9
1050.0e-9	0.55634e9
1051.0e-9	0.55453e9
1052.0e-9	0.55278e9
1053.0e-9	0.55102e9
1054.0e-9	0.54905e9
1055.0e-9	0.54698e9
1056.0e-9	0.54488e9
1057.0e-9	0.54272e9
1058.0e-9	0.54057e9
1059.0e-9	0.53852e9
1060.0e-9	0.53654e9
1061.0e-9	0.53460e9
1062.0e-9	0.53269e9
1063.0e-9	0.53089e9
1064.0e-9	0.52924e9
1065.0e-9	0.52768e9
1066.0e-9	0.52610e9
1067.0e-9	0.52462e9
1068.0e-9	0.52332e9
1069.0e-9	0.52209e9
1070.0e-9	0.52080e9
1071.0e-9	0.51949e9
1072.0e-9	0.51820e9
1073.0e-9	0.51702e9
1074.0e-9	0.51573e9
1075.0e-9	0.51414e9
1076.0e-9	0.51240e9
1077.0e-9	0.51058e9
1078.0e-9	0.50864e9
1079.0e-9	0.50656e9
1080.0e-9	0.50432e9
1081.0e-9	0.50201e9
1082.0e-9	0.49975e9
1083.0e-9	0.49741e9
1084.0e-9	0.49489e9
1085.0e-9	0.49221e9
1086.0e-9	0.48935e9
1087.0e-9	0.48621e9
1088.0e-9	0.48290e9
1089.0e-9	0.47953e9
1090.0e-9	0.47594e9
1091.0e-9	0.47210e9
1092.0e-9	0.46803e9
1093.0e-9	0.46382e9
1094.0e-9	0.45946e9
1095.0e-9	0.45501e9
1096.0e-9	0.45058e9
1097.0e-9	0.44617e9
1098.0e-9	0.44151e9
1099.0e-9	0.43668e9
1100.0e-9	0.43145e9
1101.0e-9	0.42575e9
1102.0e-9	0.41914e9
1103.0e-9	0.41161e9
1104.0e-9	0.40312e9
1105.0e-9	0.39338e9
1106.0e-9	0.38255e9
1107.0e-9	0.36994e9
1108.0e-9	0.35637e9
1109.0e-9	0.34136e9
1110.0e-9	0.32566e9
1111.0e-9	0.30897e9
1112.0e-9	0.29190e9
1113.0e-9	0.27495e9
1114.0e-9	0.25816e9
1115.0e-9	0.24230e9
1116.0e-9	0.22702e9
1117.0e-9	0.21368e9
1118.0e-9	0.20179e9
1119.0e-9	0.19163e9
1120.0e-9	0.18376e9
1121.0e-9	0.17712e9
1122.0e-9	0.17269e9
1123.0e-9	0.16911e9
1124.0e-9	0.16738e9
1125.0e-9	0.16649e9
1126.0e-9	0.16757e9
1127.0e-9	0.16943e9
1128.0e-9	0.17264e9
1129.0e-9	0.17632e9
1130.0e-9	0.18049e9
1131.0e-9	0.18486e9
1132.0e-9	0.18942e9
1133.0e-9	0.19417e9
1134.0e-9	0.19871e9
1135.0e-9	0.20302e9
1136.0e-9	0.20671e9
1137.0e-9	0.20926e9
1138.0e-9	0.21139e9
1139.0e-9	0.21228e9
1140.0e-9	0.21291e9
1141.0e-9	0.21283e9
1142.0e-9	0.21265e9
1143.0e-9	0.21256e9
1144.0e-9	0.21257e9
1145.0e-9	0.21370e9
1146.0e-9	0.21526e9
1147.0e-9	0.21857e9
1148.0e-9	0.22254e9
1149.0e-9	0.22801e9
1150.0e-9	0.23468e9
1151.0e-9	0.24231e9
1152.0e-9	0.25124e9
1153.0e-9	0.26048e9
1154.0e-9	0.27026e9
1155.0e-9	0.28000e9
1156.0e-9	0.28936e9
1157.0e-9	0.29868e9
1158.0e-9	0.30730e9
1159.0e-9	0.31587e9
1160.0e-9	0.32357e9
1161.0e-9	0.33128e9
1162.0e-9	0.33765e9
1163.0e-9	0.34380e9
1164.0e-9	0.34887e9
1165.0e-9	0.35335e9
1166.0e-9	0.35712e9
1167.0e-9	0.36035e9
1168.0e-9	0.36299e9
1169.0e-9	0.36468e9
1170.0e-9	0.36597e9
1171.0e-9	0.36614e9
1172.0e-9	0.36619e9
1173.0e-9	0.36573e9
1174.0e-9	0.36522e9
1175.0e-9	0.36452e9
1176.0e-9	0.36383e9
1177.0e-9	0.36291e9
1178.0e-9	0.36191e9
1179.0e-9	0.36121e9
1180.0e-9	0.36063e9
1181.0e-9	0.36059e9
1182.0e-9	0.36077e9
1183.0e-9	0.36147e9
1184.0e-9	0.36258e9
1185.0e-9	0.36377e9
1186.0e-9	0.36507e9
1187.0e-9	0.36636e9
1188.0e-9	0.36773e9
1189.0e-9	0.36896e9
1190.0e-9	0.36965e9
1191.0e-9	0.37022e9
1192.0e-9	0.37010e9
1193.0e-9	0.36992e9
1194.0e-9	0.36901e9
1195.0e-9	0.36805e9
1196.0e-9	0.36724e9
1197.0e-9	0.36644e9
1198.0e-9	0.36564e9
1199.0e-9	0.36487e9
1200.0e-9	0.36442e9
1201.0e-9	0.36418e9
1202.0e-9	0.36431e9
1203.0e-9	0.36477e9
1204.0e-9	0.36548e9
1205.0e-9	0.36668e9
1206.0e-9	0.36788e9
1207.0e-9	0.36918e9
1208.0e-9	0.37049e9
1209.0e-9	0.37196e9
1210.0e-9	0.37341e9
1211.0e-9	0.37488e9
1212.0e-9	0.37633e9
1213.0e-9	0.37773e9
1214.0e-9	0.37911e9
1215.0e-9	0.38016e9
1216.0e-9	0.38112e9
1217.0e-9	0.38200e9
1218.0e-9	0.38284e9
1219.0e-9	0.38351e9
1220.0e-9	0.38405e9
1221.0e-9	0.38460e9
1222.0e-9	0.38518e9
1223.0e-9	0.38572e9
1224.0e-9	0.38620e9
1225.0e-9	0.38670e9
1226.0e-9	0.38728e9
1227.0e-9	0.38784e9
1228.0e-9	0.38836e9
1229.0e-9	0.38887e9
1230.0e-9	0.38920e9
1231.0e-9	0.38952e9
1232.0e-9	0.38949e9
1233.0e-9	0.38942e9
1234.0e-9	0.38925e9
1235.0e-9	0.38904e9
1236.0e-9	0.38863e9
1237.0e-9	0.38812e9
1238.0e-9	0.38752e9
1239.0e-9	0.38683e9
1240.0e-9	0.38614e9
1241.0e-9	0.38543e9
1242.0e-9	0.38467e9
1243.0e-9	0.38378e9
1244.0e-9	0.38285e9
1245.0e-9	0.38172e9
1246.0e-9	0.38057e9
1247.0e-9	0.37918e9
1248.0e-9	0.37779e9
1249.0e-9	0.37592e9
1250.0e-9	0.37405e9
1251.0e-9	0.37170e9
1252.0e-9	0.36930e9
1253.0e-9	0.36617e9
1254.0e-9	0.36287e9
1255.0e-9	0.35918e9
1256.0e-9	0.35532e9
1257.0e-9	0.35108e9
1258.0e-9	0.34657e9
1259.0e-9	0.34214e9
1260.0e-9	0.33778e9
1261.0e-9	0.33384e9
1262.0e-9	0.33062e9
1263.0e-9	0.32775e9
1264.0e-9	0.32580e9
1265.0e-9	0.32418e9
1266.0e-9	0.32409e9
1267.0e-9	0.32413e9
1268.0e-9	0.32580e9
1269.0e-9	0.32747e9
1270.0e-9	0.33004e9
1271.0e-9	0.33264e9
1272.0e-9	0.33511e9
1273.0e-9	0.33755e9
1274.0e-9	0.33988e9
1275.0e-9	0.34218e9
1276.0e-9	0.34408e9
1277.0e-9	0.34579e9
1278.0e-9	0.34701e9
1279.0e-9	0.34784e9
1280.0e-9	0.34862e9
1281.0e-9	0.34936e9
1282.0e-9	0.35017e9
1283.0e-9	0.35110e9
1284.0e-9	0.35191e9
1285.0e-9	0.35238e9
1286.0e-9	0.35275e9
1287.0e-9	0.35265e9
1288.0e-9	0.35254e9
1289.0e-9	0.35217e9
1290.0e-9	0.35179e9
1291.0e-9	0.35070e9
1292.0e-9	0.34958e9
1293.0e-9	0.34776e9
1294.0e-9	0.34584e9
1295.0e-9	0.34363e9
1296.0e-9	0.34135e9
1297.0e-9	0.33898e9
1298.0e-9	0.33656e9
1299.0e-9	0.33382e9
1300.0e-9	0.33087e9
1301.0e-9	0.32781e9
1302.0e-9	0.32468e9
1303.0e-9	0.32147e9
1304.0e-9	0.31813e9
1305.0e-9	0.31477e9
1306.0e-9	0.31138e9
1307.0e-9	0.30799e9
1308.0e-9	0.30461e9
1309.0e-9	0.30122e9
1310.0e-9	0.29781e9
1311.0e-9	0.29444e9
1312.0e-9	0.29153e9
1313.0e-9	0.28866e9
1314.0e-9	0.28600e9
1315.0e-9	0.28336e9
1316.0e-9	0.28075e9
1317.0e-9	0.27815e9
1318.0e-9	0.27500e9
